beer_name,brewery,style,abv,ibu,comment,brewery_city,brewery_state
Envy (7 Deadly Sins),Reverend Nat's Hard Cider,Cider,10.2,85,Huge apple flavor followed by straight booze tastes and then a little hops to finish.,Portland,OR
Black Widow Porter,McMenamins,Porter - American,7.35,38,,Portland,OR
Ruby,McMenamins,Fruit Beer,4,5,Tasty raspberry ale,Portland,OR
Pumpkin Ale,Laurelwood Brewing Co.,Pumpkin / Yam Beer,7.5,25,Solid,Portland,OR
Fall Saison,Laurelwood Brewing Co.,Saison / Farmhouse Ale,6.4,25,Mighty hoppy saison.  Pretty good.,Portland,OR
Space Stout,Laurelwood Brewing Co.,Stout - Other,6.5,0,"Great coffee, chocolate, and roasty flavors",Portland,OR
Anchor Steam Beer,Anchor Brewing Company,California Common,4.8,35,Not too shabby,San Francisco,CA
Ace Pineapple Cider,Ace Cider (The California Cider Company),Cider,5,0,Delicious!,Sebastopol,CA
Double Chocolate Stout,Rogue Ales & Spirits,Stout - American Imperial / Double,8.7,68,Perfect chocolate flavor,Newport,OR
Hazelnut Brown Nectar,Rogue Ales & Spirits,Brown Ale - American,6.2,33,So good on tap,Newport,OR
Mocha Porter,Rogue Ales & Spirits,Porter - American,5.3,54,Decent,Newport,OR
Fresh Roast Brown Ale,Issaquah Brew House (Rogue Ales),Brown Ale - Belgian,0,0,Excellent brown,Issaquah,WA
American Amber Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.3,53,,Newport,OR
Rogue Farms OREgasmic Ale,Rogue Ales & Spirits,Pale Ale - American,6.6,90,Roasty and excellently malty,Newport,OR
Shakespeare Oatmeal Stout,Rogue Ales & Spirits,Stout - Oatmeal,5.7,60,Tasty on nitro,Newport,OR
Yellow Snow IPA,Rogue Ales & Spirits,IPA - American,6.6,82,"Tons of hops, interesting taste",Newport,OR
XS Russian Imperial Stout,Rogue Ales & Spirits,Stout - Russian Imperial,11,88,"Wow, that's a strong stout",Newport,OR
Vina,21st Amendment Brewery,Blonde Ale - Belgian Blonde / Golden,5.4,10,Tasty easy-drinking Belgian,San Francisco,CA
Dr Frudi,21st Amendment Brewery,Pale Ale - American,5.6,35,Classic hoppy pale,San Francisco,CA
Bruges Rouge,21st Amendment Brewery,Other,6.9,65,Tasty IRA.  Not too much Belgian flavor.,San Francisco,CA
Kriek Forte D'Or,21st Amendment Brewery,Belgian Strong Pale Ale,9.5,26,"Still don't like strong Belgians.  If I did, I would probably like this.",San Francisco,CA
Brew Free! or Die IPA,21st Amendment Brewery,IPA - American,7,70,Hoppy and tasty,San Francisco,CA
Drunken Monk Ale,21st Amendment Brewery,Belgian Strong Dark Ale,9.3,37,Way too much Belgian here,San Francisco,CA
Punkuccino Coffee Pumpkin Ale (2015),Elysian Brewing,Pumpkin / Yam Beer,5,0,,Seattle,WA
Salted Caramel Brownie Brown Ale,New Belgium Brewing Company,Brown Ale - American,6.3,14,Even better on tap!,Fort Collins,CO
Cinnamon Pear Cider,Atlas Cider Company,Cider,8.5,0,Sweet and delicious,Bend,OR
I Like My Sugar With Coffee & Cream,Ex Novo Brewing,Cream Ale,4.5,15,Meh.  A little bland.,Portland,OR
Winter Abbey Spice,Reverend Nat's Hard Cider,Cider,7.4,0,Big cinnamon flavors and can taste the alcohol in a subtle and excellent way,Portland,OR
Imperial Black Ipa,Culmination Brewery,Dark Ale,5,0,Hoppy and smooth imperial IBA,Portland,OR
Kölsch,Double Mountain Brewery & Taproom,Kölsch,5.2,40,Solid German brew,Hood River,OR
Belgian White,Blue Moon Brewing Company,Witbier,5.4,9,"A little sweet, but not terrible.  Amazing this used to be my go-to beer.",Denver,CO
Noir,Ninkasi Brewing Company,Stout - Milk / Sweet,7.6,60,"Excellent coffee, cream, and chocolate flavors",Eugene,OR
Alalā Hawaiian Crow Porter,Mehana Brewing Company,Porter - American,5.25,27,,Hilo,HI
Peanut Butter Milk Stout,Belching Beaver Brewery,Stout - Milk / Sweet,5.3,30,,Vista,CA
Koko Brown,Kona Brewing Company,Brown Ale - American,5.5,28,Coconutty delicious,Kailua-Kona,HI
Pipeline Porter,Kona Brewing Company,Porter - American,5.3,23,Excellent coffee flavors,Kailua-Kona,HI
Black Sand Porter,Kona Brewing Company,Porter - American,6.5,0,,Kailua-Kona,HI
White Mountain Porter,Big Island Brewhaus,Porter - Other,5.8,35,Excellent coconut flavor.  Needs a little more carbonation though.,Kamuela,HI
Big Wave Golden Ale,Kona Brewing Company,Golden Ale,4.4,5,Tasty on a warm day,Kailua-Kona,HI
Pipeline Porter,Kona Brewing Company,Porter - American,5.3,23,Delicious in the bottle!,Kailua-Kona,HI
Breakside IPA,Breakside Brewery,IPA - American,6.8,70,,Portland,OR
Kihei Kölsch,Maui Brewing Company,Kölsch,5.2,42,,"Lahaina, Maui",HI
Stella Artois,Stella Artois,Lager - Euro,5,24,Meh.  My options were this or Coors Light.,3000 Leuven,Vlaams-Brabant
Lavaman Red Ale,Kona Brewing Company,Red Ale - American Amber / Red,5.6,30,Solid red.  Nice maltiness.,Kailua-Kona,HI
Crisp Apple,Angry Orchard Cider Company,Cider,5,0,Sweet and tasty,Cincinnati,OH
CoCoNut PorTeR,Maui Brewing Company,Porter - American,6,30,An almost perfect Porter.  Even better on tap!,"Lahaina, Maui",HI
Lahaina Town Brown,Maui Brewing Company,Brown Ale - American,5.3,18,Tasty brown with good nutty flavors,"Lahaina, Maui",HI
10 Degrees of Separation,Coronado Brewing Company,Brown Ale - American,5.5,30,"Great nutty, coffee, and slight hoppy flavor",San Diego,CA
Paia Porter,Kona Brewing Company,Porter - Other,6.5,0,Solid porter. Not as good as Pipeline though.,Kailua-Kona,HI
ESB,Redhook Brewery,Extra Special / Strong Bitter,5.8,28,Smooth double IPA taste,Woodinville,WA
Double Overtime,Maui Brewing Company,IPA - Imperial / Double,9,100,Tasty imperial with great hoppy flavor but not too bitter,"Lahaina, Maui",HI
Chronic Amber Ale,Pizza Port Brewing Co. ,Red Ale - American Amber / Red,4.9,0,"Easy drinking amber.  Was expecting more from a marijuana themed beer, but I suppose the skunkiness not being there is good",Carlsbad,CA
Pliny the Elder,Russian River Brewing Company,IPA - Imperial / Double,8,100,Possibly the greatest IPA I have ever had.  Wow!,Santa Rosa,CA
Oats Face,Sierra Nevada Brewing Co.,Extra Special / Strong Bitter,7.1,59,Meh.  Not a great ESB.,Chico,CA
Stochasticity Project Your Father Smelt of Elderberries,Stone Brewing,Gruit / Ancient Herbed Ale,10.3,50,Way too smoky,Escondido,CA
Jack Rose,Perennial Artisan Ales,Fruit Beer,8,0,Tasty cinnamon flavors,St Louis,MO
Chocolate Hazelnut Porter,Heretic Brewing Company,Porter - Other,7,33,Very smooth and good hazelnut flavor.  A little lacking on chocolate though.,Fairfield,CA
Mad Bark,Ciderboys Hard Cider,Cider,5,0,Cinnamony goodness,Stevens Point,WI
Dank Hop,Swift Cider,Cider,6.7,0,Tastes like a pineapple sour.  Pretty good,Portland,OR
Chocolate Porter,Block 15 Brewing Company,Porter - Other,5.5,22,Roasty with interesting bitter chocolate notes,Corvallis,OR
Ivan The Terrible,Big Sky Brewing Company,Stout - Russian Imperial,9.5,65,These Russian imperials are still a little much for me,Missoula,MT
Sled Wreck Winter Ale,Barley Brown's Beer,Winter Ale,8.5,75,Hoppy for a winter,Baker City,OR
Cherry Chocoholic Baltic Porter,Rusty Truck Brewing,Porter - Baltic,7.2,0,A little too bitter for my tastes,Lincoln City,OR
The Abyss (2015),Deschutes Brewery,Stout - American Imperial / Double,12.2,70,Definitely a one beer drunk kind of beer.  One of the best imperial stouts out there though.,Bend,OR
Rhubarbarian,2 Towns Ciderhouse,Cider,5,0,A little too sweet and lacking rhubarb flavor,Corvallis,OR
Das-Schutes Munich IPA,Deschutes Brewery,IPA - American,6.2,52,Nice mix of lager and hoppy flavors,Bend,OR
Hop Henge Experimental IPA (2015),Deschutes Brewery,IPA - Imperial / Double,9.5,95,Ew.  Weird piney taste.,Bend,OR
Sage Fight IPA,Deschutes Brewery,IPA - American,7.3,97,Strange flavors here too.  Expecting sage but it's a weird fake sage.,Bend,OR
Armory XPA,Deschutes Brewery,Pale Ale - American,5.9,58,Subtle pine,Bend,OR
The Dissident,Deschutes Brewery,Flanders Oud Bruin,10.5,18,Tasty sour brown ale,Bend,OR
Red Chair NWPA,Deschutes Brewery,Pale Ale - American,6.2,60,,Bend,OR
Sour Quad,Deschutes Brewery,Sour Ale,12,52,Super boozy but good flavor,Bend,OR
Hard Blackberry Cider,Atlas Cider Company,Cider,6.2,0,"Really sweet, pretty good flavor, but lacks carbonation",Bend,OR
Hard Apricot Cider,Atlas Cider Company,Cider,5.8,0,Excellent apricot flavor without being too sweet,Bend,OR
Santa's Private Reserve Ale,Rogue Ales & Spirits,Red Ale - American Amber / Red,5.1,74,Solid red,Newport,OR
XS Old Crustacean Barleywine,Rogue Ales & Spirits,Barleywine - American,11.5,110,"Definitely a sipper, but pretty good",Newport,OR
Dead Guy Ale,Rogue Ales & Spirits,Maibock/Helles Bock,6.5,40,Really malty but tasty,Newport,OR
Abominable Winter Ale,Hopworks Urban Brewery,Winter Ale,7.3,70,"Great hoppy flavor well-balanced with maltiness and slight spicy undertones.  By far, the best winter ale I have had.",Portland,OR
Apple,Portland Cider Company,Cider,5.5,0,Not too sweet with great apple flavor.  Good stuff.,Clackamas,OR
¡Tepache!,Reverend Nat's Hard Cider,Cider,3.2,0,Excellent by itself.  Great subtle pineapple near the end.,Portland,OR
Ace Perry Cider,Ace Cider (The California Cider Company),Perry,5,0,Too sweet for me,Sebastopol,CA
Inversion IPA,Deschutes Brewery,IPA - American,6.8,80,Hoppy and a little too bitter for me,Bend,OR
Stiegl Radler Grapefruit Naturtrüb,Stieglbrauerei zu Salzburg,Radler,2,0,"Tastes almost exactly like Squirt soda, and it makes sense that it should with only 2% ABV.  Good thing I like grapefruit soda.",Salzburg,
Survival Stout,Hopworks Urban Brewery,Stout - Other,5.8,35,Tasty coffee stout,Portland,OR
Indian Brown Ale,Dogfish Head Craft Brewery,Brown Ale - American,7.2,50,One of my favorites.  Perfect mix of hoppiness and roasty maltiness.,Milton,DE
Spaten Optimator,Spaten-Franziskaner-Löwenbräu-Gruppe,Doppelbock ,7.6,0,Excellent malty German flavor,München,
Super Snow Cap,Pyramid Breweries,Strong Ale - American,8.7,51,Solid,Seattle,WA
Merry Christmas & Happy New Year (Our Special Ale) (2015),Anchor Brewing Company,Winter Warmer,5.5,0,"Strong, strange sour bitter flavor",San Francisco,CA
Ace Berry Cider,Ace Cider (The California Cider Company),Cider,5,0,Tasty,Sebastopol,CA
Dubhe Imperial Black IPA,Uinta Brewing Company,IPA - Imperial / Double Black,9.2,109,"Good, but really bitter.  109 IBUs!",Salt Lake City,UT
Amber,Abita Brewing Company,Lager - American Amber / Red,4.5,17,Easily drinkable but nothing special,Abita Springs,LA
Dry Raspberry Hard Cider,Wyder's Cider,Cider,4,0,Tasty and not too sweet,Middlebury,VT
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,"An IPA worth recommending.  It isn't quite as good as Bell's Two Hearted, but one of the best IPAs in Portland.",Portland,OR
Downtown Brown,Lost Coast Brewery,Brown Ale - English,5,16,,Eureka,CA
Motherland,Hopworks Urban Brewery,Stout - Russian Imperial,9.8,60,Intense flavors with slight bourbon finish,Portland,OR
Steam Train Porter,Snoqualmie Falls Brewing Company,Porter - American,5,28,Nice coffee flavor,Snoqualmie,WA
Lucille,Georgetown Brewing Company,IPA - American,7,85,Huge hoppy flavors,Seattle,WA
Dragonstooth Stout,Elysian Brewing,Stout - Imperial Oatmeal,7.45,36,Creamy and delicious,Seattle,WA
Shakedown ,Black Market Brewing Co.,Brown Ale - American,5.5,40,On nitro!  Nice idea for a brown,Temecula,CA
Naughty Nellie,The Pike Brewing Company,Golden Ale,4.7,24,,Seattle,WA
Pike Pale,The Pike Brewing Company,Red Ale - American Amber / Red,5,32,,Seattle,WA
Scotch Style Ruby Ale,The Pike Brewing Company,Scottish Ale,6.5,27,,Seattle,WA
XXXXX Pike Stout,The Pike Brewing Company,Stout - American,7,65,,Seattle,WA
Monk's Uncle,The Pike Brewing Company,Belgian Tripel,9,38,,Seattle,WA
IPA (India Pale Ale),The Pike Brewing Company,IPA - American,6.3,60,,Seattle,WA
Joe STOUT,Backwoods Brewing Company,Stout - Milk / Sweet,5,20,Tasty milk stout on nitro,Carson,WA
Shades Black Ale,Wild Ride Brewing,Dark Ale,5.4,35,Tasty session-like stout,Redmond,OR
Arrogant Bastard Ale (Bourbon Barrel Aged),Arrogant Bastard Brewing,Strong Ale - American,8.1,100,Massive strong ale with big bourbon finish,Escondido,CA
Winter Warmer,Big Al Brewing,Winter Warmer,7.5,0,Excellent winter ale.  The fig and hops come through nicely.,Seattle,WA
Anthem Hops Special Edition Fresh Hopped (Unfiltered),Wandering Aengus Ciderworks,Cider,6.2,0,,Salem,OR
Black & Blue,Julian Hard Cider,Cider,6.99,0,,Julian,CA
Wayward Black Beer,Holy Mountain Brewing,Dark Ale,4.5,0,,Seattle,WA
Hop'Rageous,Portland Cider Company,Cider,6.8,0,Nice hoppy with slight apple flavor,Clackamas,OR
Cherry Bomb,Julian Hard Cider,Cider,6.99,0,Excellent cherry finish and not too sweet,Julian,CA
8 Malty Nights,Lompoc Brewing,Porter - American,6.5,0,Excellent flavors and quite possibly the perfect nitro beer,Portland,OR
Slippery Slope,Cascade Lakes Brewing Company,Winter Warmer,6.4,50,Lacks flavor but it's decent,Redmond,OR
Snow Day,New Belgium Brewing Company,Winter Ale,6.2,0,Not too shabby.  Classic New Belgium.,Fort Collins,CO
Citradelic IPA,New Belgium Brewing Company,IPA - American,6,50,By far New Belgium's best IPA.  The subtle citrus really balances it well.,Fort Collins,CO
Censored Rich Copper Ale (aka The Kronik),Lagunitas Brewing Company,Red Ale - American Amber / Red,6.75,35,"Pretty good amber.  I have no idea what ""copper"" tastes like, but this tastes exactly like it.",Petaluma,CA
Brown Shugga',Lagunitas Brewing Company,Strong Ale - American,9.8,51,Definitely funky.  Sweet but also boozy.,Petaluma,CA
Dunkel,Occidental Brewing Co.,Lager - Dunkel Munich,5.3,0,Tasty German brew,Portland,OR
Brown,Full Sail Brewing Company,Brown Ale - American,6,0,Solid nut brown ale,Hood River,OR
Tsunami Stout,Pelican Brewing Company,Stout - Foreign / Export,7,45,Creamy and delicious on nitro,Pacific City,OR
Diablo Rojo,Boneyard Beer Company,Red Ale - American Amber / Red,5.5,30,Good balance of malt and hops,Bend,OR
Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company,Winter Ale,7.2,50,Caramelly with nice hops flavor,Eugene,OR
Dry Pear Hard Cider,Wyder's Cider,Cider,4,0,,Middlebury,VT
Baked Apple,D's Wicked Cider,Cider,8.5,0,Tastes like boozy apple pie and that's mighty tasty,Kennewick,WA
Porter,Kennebunkport Brewing Co.,Porter - American,5.6,0,Not too shabby,Kennebunk,ME
Salted Caramel Stout,Breakside Brewery,Stout - Milk / Sweet,6.7,28,Wowsa.  That's a mighty fine stout.  Sweet caramel blast of flavor and subtle undertones make this delicious.,Portland,OR
Newton's Folly Granny Smith Draft Cider,American Hard Cider Company,Cider,5,0,Lacks flavor,Middlebury,VT
Newton's Folly Authentic Draft Cider,American Hard Cider Company,Cider,5,0,Meh.  Nothing special.,Middlebury,VT
Beer Camp Tropical IPA (2016),Sierra Nevada Brewing Co.,IPA - American,6.7,55,Big hoppy flavor with tropical fruit notes,Chico,CA
Jumping Cow Amber Ale,Steinhaus Brewing Company,Red Ale - American Amber / Red,5.4,0,,Paso Robles,CA
Apricot Cream Ale,Vertigo Brewing,Cream Ale,4.6,0,Great taste pairing the apricot with a cream style.  Very nice.,Hillsboro,OR
Smokestack Red,Vertigo Brewing,Red Ale - American Amber / Red,5.7,32,Very nice and creamy,Hillsboro,OR
Friar Mike's IPA,Vertigo Brewing,IPA - American,6.1,61,Good but not as smooth as the top notch,Hillsboro,OR
Friar Gone Wild,Vertigo Brewing,IPA - Imperial / Double,9,100,,Hillsboro,OR
Arctic Blast Vanilla Porter,Vertigo Brewing,Porter - American,5.8,0,Excellent on nitro.  A little nutty,Hillsboro,OR
Rum Barrel Aged Coconut Porter,Vertigo Brewing,Porter - American,9.1,38,Tasty.  I like the rum barrel aging better than bourbon barrels.,Hillsboro,OR
Side Trip,New Belgium Brewing Company,Pale Ale - Belgian,6,22,Pretty good for a Belgian pale.  Not too overwhelmingly Belgian.,Fort Collins,CO
JK'S Scrumpy Orchard Gate Gold Organic Hard Cider (Farmhouse),J.K.'S Farmhouse Ciders,Cider,6,0,Tasty.  Like apple juice more than any other cider I have had but boozy too,Flushing,MI
Celebration Ale (2013),Sierra Nevada Brewing Co.,IPA - American,6.8,65,,Chico,CA
La Tormenta,Breakside Brewery,Sour Ale,7,22,Excellent non-traditional sour with hoppy flavors,Portland,OR
Green Apple,D's Wicked Cider,Cider,8.5,0,"Big time ABV, nice apple flavor.  This is solid.",Kennewick,WA
Hard Pom-Cherry Cider,Atlas Cider Company,Cider,5.8,0,Not too sweet with good flavor,Bend,OR
Vanilla Oatis Stout,Ninkasi Brewing Company,Stout - Oatmeal,7,50,,Eugene,OR
S1NIST0R Black Ale,10 Barrel Brewing Company,Schwarzbier,5.7,28,Tasty dark ale,Bend,OR
Spire Mountain Sparkling Pear,Fish Brewing Company,Cider,5,0,A little too sweet.  Not much pear flavor either.,Olympia,WA
Original Alcoholic Ginger Beer ,John Crabbie & Co,Ginger Beer,4.8,0,"Strong, spicy ginger taste",Glasgow,"City of Glasgow, G3 7QF"
Shake Chocolate Porter,Boulder Beer Company,Porter - American,5.9,39,Chocolatey deliciousness,Boulder,CO
Jubelale,Deschutes Brewery,Winter Ale,6.7,65,,Bend,OR
Sweaty Betty,Boulder Beer Company,Hefeweizen,5.2,15,Meh.  Not a big fan of hefes.,Boulder,CO
Dick's Cream Stout,Dick's Brewing Company,Stout - Milk / Sweet,5.5,20,"Decent flavor, but lacks carbonation",Centralia,WA
Fa La La La La,Double Mountain Brewery & Taproom,Winter Ale,7.6,85,Big time hoppiness but good wintery malt too,Hood River,OR
The Terry Porter,Gilgamesh Brewing,Porter - American,6.3,25,Solid porter with a great name and an even better cause.  $2 from every bottle is donated to helping a children's hospital.,Salem,OR
Cranberry Cider,Tieton Cider Works,Cider,6.9,0,Yum!  This is an almost perfectly flavored cranberry cider.,Yakima,WA
Oatmeal Pale Ale,Burnside Brewing Co. (Oregon),Pale Ale - American,5.6,44,Oatmeal adds nice smooth taste,Portland,OR
Oatmeal Stout,Glacier Brewhouse,Stout - Oatmeal,5.61,21,Very smooth,Anchorage,AK
Black Rye Bock,Glacier Brewhouse,Lager - Black,7.07,20,"Tasty, caramelly bock",Anchorage,AK
2013 Oak Aged Eisbock,Glacier Brewhouse,Eisbock,10,0,My first eisbock.  Caramelly and vanilla highlights.,Anchorage,AK
Makers Mark Stout,Glacier Brewhouse,Stout - Other,5.61,0,Good barrel aged stout.  Not too much whiskey flavor.,Anchorage,AK
Russian Imperial Stout (Buffalo Trace Barrels),Glacier Brewhouse,Stout - Russian Imperial,9.25,60,,Anchorage,AK
Fairweather IPA,Broken Tooth Brewing,IPA - American,6.4,64,Solid,Anchorage,AK
Blonde Style Ale,Kenai River Brewing Company,Blonde Ale,5,0,,Soldotna,AK
Oosik Amber Ale,Midnight Sun Brewing Co.,Altbier,5,11,,Anchorage,AK
Oatmeal Stout,Orso ,Stout - Oatmeal,5.61,0,Yum.  Very smooth and creamy.,Anchorage,AK
Nut Brown,Glacier Brewhouse,Brown Ale - American,5.92,0,"Nice, sweet nutty flavor",Anchorage,AK
India Pale Ale,Glacier Brewhouse,IPA - American,6.35,0,Great hoppy flavor and nice and smooth,Anchorage,AK
Cask Conditioned IPA,Glacier Brewhouse,IPA - American,6.35,60,First IPA from a cask.  Interesting,Anchorage,AK
Double IPA,Glacier Brewhouse,IPA - Imperial / Double,7.95,100,Subtle strange flavor here.  Not sure what it is.,Anchorage,AK
Citrus IPA,Glacier Brewhouse,IPA - American,7.2,0,"Good, but not as good as Citradelic from New Belgium.  A little too lemony",Anchorage,AK
BarFly,Midnight Sun Brewing Co.,Smoked Beer,11.6,45,Yum.  The oak barrels add great flavor.,Anchorage,AK
XXX Black Double IPA,Midnight Sun Brewing Co.,IPA - Imperial / Double Black,8.5,87,A little too grainy for me,Anchorage,AK
Berserker Imperial Stout,Midnight Sun Brewing Co.,Stout - American Imperial / Double,12.7,30,Huge maple imperial stout,Anchorage,AK
Termination Dust,Midnight Sun Brewing Co.,Barleywine - English,13,70,Wow.  That's a good barley wine.  Sweet and almost more like a stout with all the booze.,Anchorage,AK
Modern Romance,Midnight Sun Brewing Co.,Strong Ale - American,9.3,37,Interesting spicy chocolate.  Pretty intense,Anchorage,AK
Hard Apple Ale,Broken Tooth Brewing,Fruit Beer,5.2,0,All the great qualities of cider and beer brought together,Anchorage,AK
Midtown Brown,Broken Tooth Brewing,Brown Ale - American,5.1,0,,Anchorage,AK
Prince William's Porter,Broken Tooth Brewing,Porter - American,5.5,25,By far one of most roasty porters I've had,Anchorage,AK
Pipeline Stout,Broken Tooth Brewing,Stout - American,6.3,30,,Anchorage,AK
Darth Delirium (2016),Broken Tooth Brewing,Belgian Strong Dark Ale,10.5,40,Huge flavor and mighty tasty,Anchorage,AK
YellowEye P.A. (Tropical IPA),Broken Tooth Brewing,IPA - American,7.5,74,"Yum.  The description is spot on:  Clean and big with tropical hop notes of apricot, mango, passion fruit, and peach.  Hawaii in Alaska.",Anchorage,AK
Sam Tooth Chocolate Stout,Broken Tooth Brewing,Stout - Milk / Sweet,5.2,40,Not quite the chocolate flavor I was hoping for,Anchorage,AK
Winter Ale,Alaskan Brewing Co.,Old Ale,6.4,22,Caramelly,Juneau,AK
40 Below Stout,Silver Gulch Brewing Company,Stout - Russian Imperial,8.5,77,Nice and smooth Russian imperial,Fox,AK
Hop Cooler,Ninkasi Brewing Company,IPA - American,7.2,74,Tasty,Eugene,OR
Slacker,No-Li Brewhouse,Herbed / Spiced Beer,6.1,20,Pretty good.  Doesn't have quite the citrus or vanilla flavor I was hoping for.,Spokane,WA
Porter,Sierra Nevada Brewing Co.,Porter - American,5.6,32,Not too shabby,Chico,CA
Amber,Alaskan Brewing Co.,Altbier,5.3,18,Ol' reliable,Juneau,AK
Hop Turn IPA,Alaskan Brewing Co.,IPA - American,7.5,45,"Not bad, but not really good either",Juneau,AK
Otra Vez,Sierra Nevada Brewing Co.,Gose,4.5,5,Goses are interesting.  This would be good on a warm day.,Chico,CA
Dundee Porter,Golden Valley Brewery and Pub,Porter - Other,5.4,0,Not too shabby,McMinnville,OR
Bald Peak IPA,Golden Valley Brewery and Pub,IPA - American,7.2,80,,McMinnville,OR
Hawaiian Sunburn,Elysian Brewing,Sour Ale,5.3,9,Not as much pineapple as I hoped for.  Very subtle heat at the end.  Decent sour.,Seattle,WA
Grand Mimosa,Ciderboys Hard Cider,Cider,5,0,Tastes exactly as advertised,Stevens Point,WI
Jamaica Red Ale,Mad River Brewing Company,Red Ale - American Amber / Red,6.5,45,"Not spectacular, but a solid red",Blue Lake,CA
Fish Tale Organic Amber Ale,Fish Brewing Company,Red Ale - American Amber / Red,5,22,Interesting red/amber flavor,Olympia,WA
El Dazzle Winter Stout,Hale's Ales Brewery,Stout - Other,6.3,32,,Seattle,WA
West Coast IPA (2016),Green Flash Brewing Company,IPA - Imperial / Double,8.1,95,"Pretty bitter, but it's good",San Diego,CA
RIP Porter,Heathen Brewing,Porter - Other,6.1,31,"Not as smooth as I like, but it's pretty good",Vancouver,WA
10 Pine Chocolate Porter,Three Creeks Brewing Company,Porter - American,8.4,25,Deliciously chocolatey,Sisters,OR
Eclipse,Bend Brewing Company,IPA - Black / Cascadian Dark Ale,7.5,0,,Bend,OR
Smoked Porter (2006),Alaskan Brewing Co.,Smoked Beer,6.5,0,"Wow, so much smoke.  Tastes like smoked salmon yuuuuge initially.",Juneau,AK
Pumpkin Lambicus,Brewery John Martin & Brewery Timmermans,Pumpkin / Yam Beer,4,0,,Genval,
Cold Brew,Two Beers Brewing Co. ,Brown Ale - American,5.3,18,"Yum!  Excellent, smooth coffee flavor",Seattle,WA
Primeval,Baerlic Brewing Company,Brown Ale - American,6.8,70,,Portland,OR
Stumptown CandyPeel IPA,BridgePort Brewing Co.,IPA - American,6.5,65,"Not too bad, but not too great either",Portland,OR
Double Bastard Ale,Arrogant Bastard Brewing,Strong Ale - American,11,100,,Escondido,CA
HUB Lager,Hopworks Urban Brewery,Pilsner - Czech,5.1,32,"Meh, pilsners suck",Portland,OR
IPX Organic El Dorado,Hopworks Urban Brewery,IPA - American,6,60,Simple pale,Portland,OR
Velvet ESB,Hopworks Urban Brewery,Extra Special / Strong Bitter,5.2,30,,Portland,OR
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,,Portland,OR
Survival Stout,Hopworks Urban Brewery,Stout - Other,5.8,35,,Portland,OR
Deluxe Organic Ale (DOA),Hopworks Urban Brewery,Strong Ale - American,7,0,,Portland,OR
Rise Up Red,Hopworks Urban Brewery,Red Ale - American Amber / Red,6.1,65,,Portland,OR
Gear Up IPA,Hopworks Urban Brewery,IPA - American,6.6,76,,Portland,OR
Zesty Lass Grapefruit IPA,Three Mugs Brewing Company,IPA - American,7.8,51,,Hillsboro,OR
Northern Rebellion,Three Mugs Brewing Company,Brown Ale - English,4,15,,Hillsboro,OR
Sinfully Yours - Cask,Three Mugs Brewing Company,Porter - Imperial / Double,9.3,0,,Hillsboro,OR
Fiery Wench,Three Mugs Brewing Company,Red Ale - Imperial / Double,9,85,Isn't this a Belgian?,Hillsboro,OR
Cinnamon Toast Ale,Three Mugs Brewing Company,Winter Warmer,7.1,17,,Hillsboro,OR
Mo' Honey Ale,Three Mugs Brewing Company,Golden Ale,6.9,33,,Hillsboro,OR
Briney Melon Gose,Anderson Valley Brewing Company,Gose,4.2,0,A little more melon would be nice,Boonville,CA
Grapefruit Rustler,Payette Brewing Co.,IPA - American,6.2,65,,Garden City,ID
Easy Jack,Firestone Walker Brewing Company,IPA - Session / India Session Ale,4.5,47,,Paso Robles,CA
Something Brown,Gigantic Brewing Company,Brown Ale - American,4.5,18,Lacks flavor,Portland,OR
Hopworks IPA,Hopworks Urban Brewery,IPA - American,6.6,75,Interesting on nitro,Portland,OR
Simian Stout,Fort George Brewery,Stout - Other,7.1,0,Subtle banana.  Not too bad,Astoria,OR
E-Ticket Chocolate Raspberry Porter,Vertigo Brewing,Fruit Beer,4.8,35,,Hillsboro,OR
Indra Kunindra,Ballast Point Brewing & Spirits,Stout - Foreign / Export,7,50,,San Diego,CA
Cafe Baltika,Deschutes Brewery,Porter - Baltic,6.8,0,Big coffee and chocolate flavors.  Barely tastes like beer,Bend,OR
Oort Imperial Stout,Ecliptic Brewing,Stout - Other,8.5,72,,Portland,OR
Orbiter IPA,Ecliptic Brewing,IPA - American,7.4,75,,Portland,OR
XPEC 44 Peach Sour Ale,Ecliptic Brewing,Sour Ale,5.5,10,,Portland,OR
Deimos,Backlash Beer Company,IPA - Imperial / Double,9,0,,Holyoke,MA
Orange Giant Barleywine ,Ecliptic Brewing,Barleywine - American,12.5,12,,Portland,OR
Pegasus ESB,Ecliptic Brewing,Extra Special / Strong Bitter,5.8,38,,Portland,OR
Zenith Grapefruit Gose,Ecliptic Brewing,Gose,4.5,10,,Portland,OR
Notorious IPA³,Boneyard Beer Company,IPA - Triple,11.8,80,Huge flavors but still impressively smooth,Bend,OR
20th Anniversary Encore Series: Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,Stone Brewing,Stout - Imperial Oatmeal,9.2,55,Big meal in a snifter,Escondido,CA
Breakside IPA,Breakside Brewery,IPA - American,6.8,70,,Portland,OR
